a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,12:00,OFF,jump ball,,Josh Smith,,,Theo Ratliff,,,,,,,Stephen Jackson,,,,,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:44,CHA,shot,Stephen Jackson,,,,,,,,,Boris Diaw,2,,,made,,hook,24,11
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:26,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,layup,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:09,CHA,shot,Raymond Felton,,,,,,,,,Stephen Jackson,2,,,made,,driving layup,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:51,ATL,shot,Marvin Williams,,,,,,,,,Al Horford,2,,,made,,driving dunk,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:31,ATL,foul,,,,,,,,Gerald Wallace,,Jeff Teague,,,,,,shooting,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:31,CHA,free throw,,,,,,,1,,2,Gerald Wallace,,,foul,made,,,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:31,CHA,free throw,,,,,,,2,,2,Gerald Wallace,,,foul,made,,,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:18,ATL,shot,,,Boris Diaw,,,,,,,Marvin Williams,,,,missed,,jump,7,8
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:16,CHA,rebound,,,,,,,,,,Theo Ratliff,,,,,,def,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:57,CHA,shot,,,,,,,,,,Theo Ratliff,,,,missed,,jump,28,15
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:56,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:53,ATL,shot,Al Horford,,,,,,,,,Josh Smith,2,,,made,,slam dunk,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:39,CHA,shot,Raymond Felton,,,,,,,,,Gerald Wallace,2,,,made,,reverse layup,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:28,ATL,shot,,,,,,,,,,Jeff Teague,,,,missed,,layup,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:26,ATL,rebound,,,,,,,,,,Jeff Teague,,,,,,off,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:26,ATL,shot,,,Theo Ratliff,,,,,,,Jeff Teague,,,,missed,,layup,25,6
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:24,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:24,ATL,foul,,,,,,,,Gerald Wallace,,Marvin Williams,,,,,,shooting,,
Al Horford,Jeff Teague,Josh Smith,Marvin Williams,Maurice Evans,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:24,CHA,free throw,,,,,,,1,,2,Gerald Wallace,,,foul,made,,,,
