a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,12:00,OFF,jump ball,,Joakim Noah,,,Brook Lopez,,,,,,,Taj Gibson,,,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:44,CHI,shot,Kirk Hinrich,,,,,,,,,Taj Gibson,2,,,made,,jump,40,16
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:26,NJN,shot,,,,,,,,,,Jarvis Hayes,,,,missed,,jump,15,22
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:24,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:02,CHI,shot,,,,,,,,,,Kirk Hinrich,3,,,made,,3pt,47,17
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:47,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,41,8
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:46,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:39,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,3pt,24,31
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:38,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:23,NJN,shot,,,,,,,,,,Courtney Lee,,,,missed,,jump,35,8
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:22,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:59,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,jump,31,24
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:57,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:51,NJN,turnover,,,,,,,,,,Devin Harris,,,bad pass,,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:32,CHI,shot,,,,,,,,,,Luol Deng,2,,,made,,jump,40,6
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:09,NJN,shot,,,Taj Gibson,,,,,,,Courtney Lee,,,,missed,,layup,25,6
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:07,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:05,CHI,foul,,,,,,,,Devin Harris,,Joakim Noah,,,,,,offensive,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,9:05,CHI,turnover,,,,,,,,,,Joakim Noah,,,foul,,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,8:55,CHI,foul,,,,,,,,Devin Harris,,Taj Gibson,,,,,,shooting,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,8:55,NJN,free throw,,,,,,,1,,2,Devin Harris,,,foul,made,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,8:55,NJN,free throw,,,,,,,2,,2,Devin Harris,,,foul,made,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,8:39,CHI,turnover,,,,,,,,,,Taj Gibson,,,bad pass,,Courtney Lee,,,
