a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,12:00,OFF,jump ball,,Roy Hibbert,,,J.J. Hickson,,,,,,,Delonte West,,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:38,CLE,shot,,,Roy Hibbert,,,,,,,Leon Powe,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:38,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:37,IND,turnover,,,,,,,,,,Danny Granger,,,out of bounds lost ball turnover,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:26,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,jump,10,9
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:25,CLE,rebound,,,,,,,,,,Leon Powe,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:14,IND,foul,,,,,,,,Leon Powe,,Roy Hibbert,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:14,CLE,free throw,,,,,,,1,,2,Leon Powe,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:14,CLE,free throw,,,,,,,2,,2,Leon Powe,,,foul,missed,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:13,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:02,CLE,foul,,,,,,,,Roy Hibbert,,Leon Powe,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:02,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,11:02,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:47,CLE,shot,Delonte West,,,,,,,,,Jamario Moon,3,,,made,,3pt,8,25
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:31,IND,turnover,,,,,,,,,,Danny Granger,,,bad pass,,Jamario Moon,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:23,CLE,shot,,,,,,,,,,Leon Powe,,,,missed,,layup,25,8
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:22,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:21,CLE,shot,,,,,,,,,,J.J. Hickson,2,,,made,,layup,23,8
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:12,IND,shot,Earl Watson,,,,,,,,,Roy Hibbert,2,,,made,,jump hook,22,12
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,10:00,CLE,shot,,,,,,,,,,Delonte West,,,,missed,,jump,26,19
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:59,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:59,CLE,shot,,,,,,,,,,J.J. Hickson,,,,missed,,tip,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:58,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:50,IND,turnover,,,,,,,,,,Earl Watson,,,bad pass,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:37,CLE,shot,Jamario Moon,,,,,,,,,J.J. Hickson,2,,,made,,jump,45,7
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:20,CLE,foul,,,,,,,,Roy Hibbert,,J.J. Hickson,,,,,,personal,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:12,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,3pt,49,14
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Anthony Parker,Delonte West,J.J. Hickson,Jamario Moon,Leon Powe,1,9:11,CLE,rebound,,,,,,,,,,Leon Powe,,,,,,def,,
