a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Hasheem Thabeet,,,,,,,Jason Kapono,,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:45,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,31,20
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:44,MEM,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:28,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,pullup jump,38,22
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:27,MEM,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:19,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,jump,36,25
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:17,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:01,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,3pt,42,25
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:00,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:46,MEM,shot,Zach Randolph,,,,,,,,,O.J. Mayo,2,,,made,,fade away jumper,41,5
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:31,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,turnaround jump,19,9
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:29,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:20,PHI,foul,,,,,,,,Hasheem Thabeet,,Elton Brand,,,,,,shooting,,
