a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,12:00,OFF,jump ball,,Jeff Green,,,Ronny Turiaf,,,,,,,Anthony Tolliver,,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:47,GSW,turnover,,,,,,,,,,Corey Maggette,,,poss lost ball turnover,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:34,OKC,shot,Kevin Durant,,,,,,,,,Russell Westbrook,2,,,made,,alley oop dunk,26,7
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:15,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,20,24
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:13,GSW,rebound,,,,,,,,,,Anthony Tolliver,,,,,,off,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:13,GSW,shot,,,,,,,,,,Anthony Tolliver,2,,,made,,putback layup,26,8
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:13,OKC,foul,,,,,,,,Anthony Tolliver,,Thabo Sefolosha,,,,,,shooting,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:13,GSW,free throw,,,,,,,1,,1,Anthony Tolliver,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:00,GSW,foul,,,,,,,,Russell Westbrook,,Stephen Curry,,,,,,personal,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:57,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,34,14
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Anthony Tolliver,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:56,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,off,,
