a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,12:00,OFF,jump ball,,David Lee,,,Andrea Bargnani,,,,,,,Amir Johnson,,,,,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:43,NYK,foul,,,,,,,,Andrea Bargnani,,Earl Barron,,,,,,shooting,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:43,TOR,free throw,,,,,,,1,,2,Andrea Bargnani,,,foul,made,,,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:43,TOR,free throw,,,,,,,2,,2,Andrea Bargnani,,,foul,made,,,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:22,NYK,shot,,,,,,,,,,David Lee,,,,missed,,jump,41,8
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:21,TOR,rebound,,,,,,,,,,Sonny Weems,,,,,,def,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,11:04,TOR,shot,,,,,,,,,,Andrea Bargnani,2,,,made,,jump,45,6
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:49,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,3pt,38,27
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:48,TOR,rebound,,,,,,,,,,Amir Johnson,,,,,,def,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:41,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,pullup jump,31,24
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:39,NYK,rebound,,,,,,,,,,Bill Walker,,,,,,def,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:21,NYK,shot,Earl Barron,,,,,,,,,Bill Walker,3,,,made,,3pt,42,22
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:05,TOR,foul,,,,,,,,Chris Duhon,,Sonny Weems,,,,,,offensive,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,10:05,TOR,turnover,,,,,,,,,,Sonny Weems,,,foul,,,,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:54,NYK,shot,,,,,,,,,,Chris Duhon,2,,,made,,pullup jump,9,19
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:44,NYK,foul,,,,,,,,Amir Johnson,,David Lee,,,,,,personal,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:38,TOR,shot,,,,,,,,,,Jose Calderon,2,,,made,,driving layup,22,7
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:23,NYK,shot,,,,,,,,,,Bill Walker,,,,missed,,3pt,48,10
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:22,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:02,TOR,shot,,,,,,,,,,Amir Johnson,,,,missed,,jump,24,25
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,9:01,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,8:50,NYK,shot,,,,,,,,,,Bill Walker,2,,,made,,driving layup,23,7
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,8:41,TOR,shot,,,,,,,,,,Jose Calderon,2,,,made,,jump,35,24
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,8:26,NYK,shot,David Lee,,,,,,,,,Chris Duhon,2,,,made,,running reverse layup,27,6
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,8:07,TOR,shot,,,,,,,,,,Hedo Turkoglu,2,,,made,,driving layup,23,7
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,7:51,TOR,foul,,,,,,,,,,Amir Johnson,,,,,,defense 3 second,,
Bill Walker,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,7:51,NYK,free throw,,,,,,,1,,1,Danilo Gallinari,,,technical,missed,,,,
