Player,Year,player_efficiency,WS/48,OBPM,2P,BPM,FT,MP,G,PTS,DBPM,2PA,PER
Larry Sanders,0.0,10.831975917431194,0.057,-6.2,116.0,-3.2000000000000006,28.0,872.0,60.0,260.0,3.0,268.0,11.0
Larry Sanders,1.0,13.772423017107306,0.07200000000000001,-3.9,84.0,1.5,18.0,643.0,52.0,186.0,5.3,182.0,13.3
Larry Sanders,2.0,19.488660299432112,0.149,-1.8,306.0,2.5,84.0,1937.0,71.0,696.0,4.3,603.0,18.7
Larry Sanders,3.0,14.065405821917805,0.057,-3.3,76.0,-1.8,26.0,584.0,23.0,178.0,1.6,161.0,14.0
Larry Sanders,4.0,15.655,0.13200000000000006,-2.0,86.0,1.3999999999999997,24.0,586.0,27.0,196.0,3.399999999999999,172.0,15.199999999999996
Larry Sanders,5.0,7.210000000000001,-0.029,-8.7,1.0,-9.6,2.0,13.0,5.0,4.0,-0.9,4.0,6.5
J.J. Redick,0.0,12.253448553054655,0.134,1.3,42.0,-1.4,54.0,622.0,42.0,252.0,-2.6,97.0,13.0
J.J. Redick,1.0,13.0543115942029,0.091,-0.9,31.0,-4.3,27.0,276.0,34.0,140.0,-3.4,65.0,12.7
J.J. Redick,2.0,10.1659504950495,0.098,-1.0,50.0,-1.3,81.0,1111.0,64.0,382.0,-0.3,120.0,9.9
J.J. Redick,3.0,15.05277986725664,0.173,2.5,132.0,1.4,191.0,1808.0,82.0,788.0,-1.1,279.0,15.0
J.J. Redick,4.0,12.789674818241904,0.142,1.1,110.0,0.6,112.0,1513.0,59.0,593.0,-0.4,228.0,12.8
J.J. Redick,5.0,14.238703682719546,0.14199999999999996,2.2,136.0,0.29999999999999993,143.0,1765.0,65.0,751.0,-1.9,316.0,15.099999999999996
J.J. Redick,6.0,14.972182849936948,0.08866666666666664,1.9,144.66666666666666,-1.2999999999999998,114.0,1586.0,52.0,733.3333333333335,-3.2,286.0,14.233333333333334
J.J. Redick,7.0,17.676859169199602,0.1469999999999999,2.899999999999999,108.0,0.8000000000000003,97.0,987.0,35.0,532.0,-2.100000000000001,213.0,16.600000000000005
J.J. Redick,8.0,16.779207555002078,0.134,3.4,247.0,0.7,183.0,2409.0,78.0,1277.0,-2.7,480.0,16.2
J.J. Redick,9.0,18.417801621363854,0.154,3.5,222.0,0.8,182.0,2097.0,75.0,1226.0,-2.7,459.0,17.5
J.J. Redick,10.0,16.240939035486804,0.105,2.0,195.0,0.0,180.0,2198.0,78.0,1173.0,-2.0,422.0,14.8
Pat Garrity,0.0,12.3710594795539,0.101,-1.1,78.0,-4.1,40.0,538.0,39.0,217.0,-3.0,152.0,13.0
Pat Garrity,1.0,11.62347126436782,0.091,-0.5,179.0,-2.1,80.0,1479.0,82.0,675.0,-1.6,388.0,11.9
Pat Garrity,2.0,9.569576314122862,0.076,-1.1,126.0,-3.3,85.0,1579.0,76.0,628.0,-2.2,352.0,10.1
Pat Garrity,3.0,12.166066916043231,0.101,1.2,158.0,0.1,61.0,2406.0,80.0,884.0,-1.1,371.0,12.3
Pat Garrity,4.0,10.761731811145513,0.091,1.0,151.0,-0.1,83.0,2584.0,81.0,868.0,-1.1,337.0,11.2
Pat Garrity,5.0,0.3572272727272725,-0.06,-6.4,1.0,-11.6,0.0,22.0,2.0,2.0,-5.2,3.0,0.5
Pat Garrity,6.0,8.910722513089004,0.054000000000000006,-1.5,74.0,-4.0,29.0,955.0,71.0,324.0,-2.4,159.0,9.1
Pat Garrity,7.0,8.278607675906182,0.062,-0.3,51.0,-2.2,30.0,938.0,57.0,282.0,-1.9,113.0,9.1
Pat Garrity,8.0,6.035436823104696,0.038,-2.7,11.0,-3.9,16.0,277.0,33.0,71.0,-1.2,38.0,6.4
Pat Garrity,9.0,3.476528169014085,-0.038,-5.4,19.0,-6.0,4.0,284.0,31.0,66.0,-0.6,43.0,3.2
