,,stint,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,age,g,mp,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,team_mar,team_mp,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truetimevorp,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
playerID,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdulta01,2000,1.0,29.0,420.0,111.0,14.0,45.0,59.0,22.0,14.0,13.0,34.0,54.0,111.0,43.0,36.0,21.0,10.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,30.5,789.0,0.466,0.027999999999999997,0.307,6.95,11.4,9.2,10.35,1.5,1.55,12.15,21.5,0.2,0.9,1.1,0.0525,-2.0,-0.2,-2.15,0.15,0.008,0.0445,18.9,-0.585,19805.0,0.16699999999999998,0.5165,337708.0,0.5185,-0.41,-0.225,-0.18,-1.555,-0.505,-2.705,0.1995,-0.46,-2.51,0.365,-2.3,2.6,-0.35,0.1,0.2,0.1,-1.95,-0.05,-0.25,-1.95,-0.3,-1.05,-0.7,-0.1,0.5,-2.05,1.7,-0.35,0.0,-0.3,1.9,0.0,0.05,-1.75,0.2,25.55,21.85,-2.3,-0.35,0.1,-0.15,-2.05,-0.35,0.0,-0.2,-0.3,0.0,0.05,0.0,-1.05,-1.55,0.285,0.25,0.1,0.2,0.0,0.2,0.3,2.7,2.0,25.25,2
abdulta01,2001,1.5,12.0,220.5,67.5,20.5,21.5,42.0,12.0,10.0,5.0,13.5,28.0,73.5,27.5,16.5,12.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,29.0,420.0,0.43799999999999994,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.4,0.0,-5.4,-0.4,-0.08199999999999999,0.033,13.5,-2.07,19780.0,0.17,0.512,345064.0,0.513,-2.16,0.28,-0.25,-1.8,-1.7,-5.38,0.106,-0.57,0.26,-0.55,-5.9,2.8,-0.6,-0.4,-0.9,0.1,-3.6,0.0,-0.9,-5.4,-0.6,0.7,3.5,-0.5,-2.8,-5.9,1.9,-0.6,-0.5,0.0,2.1,0.0,0.0,-6.0,0.1,14.5,12.7,-5.9,-0.6,-0.4,-1.2,-5.9,-0.6,-0.5,-1.3,0.0,0.0,0.0,0.1,-3.2,-4.2,0.0,0.0,0.0,-1.1,-1.2,0.1,0.0,2.7,2.0,26.25,3
abdulta01,2002,1.0,14.0,204.0,57.0,14.0,26.0,40.0,21.0,6.0,3.0,7.0,26.0,58.0,27.0,6.0,3.0,1.0,0.0,8.0,0,79.0,25.0,11.0,11.0,22.0,7.0,0.0,0.0,1.0,6.0,30.0,9.0,8.0,7.0,2.0,0.0,0.0,27,12.0,220.5,0.212,0.006999999999999999,0.3605,9.8,14.7,12.3,9.55,3.3,2.3,34.1,14.95,-0.15,0.15,-0.05,-0.0615,-5.45,2.95,-2.45,-0.05,-0.095,0.0335,10.85,-0.43,19842.5,0.18100000000000002,0.524,347442.5,0.5245,0.295,2.385,-0.73,-3.94,-2.02,-3.29,0.0555,-0.135,-1.465,0.19,-3.1,4.75,-0.15,-0.05,0.75,-0.45,-6.05,0.5,-1.05,-6.25,-0.15,2.35,2.3,0.1,-2.75,-6.15,3.2,-0.2,-0.1,3.05,3.5,0.0,0.0,-9.25,0.05,13.45,10.2,-3.1,-0.15,-0.05,-0.3,-6.15,-0.2,-0.1,-0.8,3.05,0.0,0.0,0.45,-3.45,-3.5,0.045,-0.05,-0.05,-0.15,-0.25,0.1,-0.15,3.0,2.0,27.25,4
abdursh01,2000,1.0,81.0,3241.0,1663.0,175.0,560.0,735.0,250.0,90.0,77.0,231.0,238.0,1280.0,604.0,531.0,443.0,64.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,82.0,3223.0,0.547,0.075,0.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,6.2,2.6,8.8,0.132,1.7,0.3,2.0,3.2,0.09300000000000001,0.039,21.5,-5.6,19855.0,0.16699999999999998,0.524,334167.0,0.518,2.15,-0.04,0.08,-0.29,1.42,3.24,0.812,2.63,-1.87,-0.97,2.3,2.0,1.8,3.5,0.6,0.3,0.4,-0.1,0.7,2.0,1.6,-1.1,-0.3,-0.2,-4.5,1.8,1.3,1.5,2.8,0.5,1.5,0.4,0.6,1.3,0.8,39.3,37.5,2.3,1.8,3.5,3.5,1.8,1.5,2.8,2.8,0.5,0.4,0.6,0.6,1.6,2.0,0.73,2.9,3.1,9.4,7.7,1.7,8.4,3.7,3.0,23.14,3
abdursh01,2001,1.0,77.0,2980.0,1636.0,198.0,498.0,696.0,239.0,98.0,81.0,250.0,214.0,1297.0,598.0,523.0,419.0,70.0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,81.0,3241.0,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.1,0.8,1.9,3.2,0.083,0.043,21.4,-5.47,19780.0,0.17,0.51,336707.0,0.5,1.17,-0.23,0.09,0.43,1.43,2.8,0.8190000000000001,2.29,-3.66,-0.58,2.2,2.0,1.8,3.5,0.2,0.3,0.9,-0.1,0.7,2.1,1.8,-3.6,0.0,-0.9,-1.9,1.3,1.3,1.1,2.4,0.9,1.5,0.8,1.0,0.4,0.8,40.0,38.1,2.2,1.8,3.5,3.5,1.3,1.1,2.4,2.5,0.9,0.8,1.0,1.0,1.7,2.0,0.73,2.9,3.1,9.3,6.6,2.7,8.3,3.6,3.0,24.14,4
abdursh01,2002,1.0,81.0,3083.0,1608.0,175.0,502.0,677.0,242.0,87.0,38.0,210.0,240.0,1183.0,566.0,541.0,455.0,60.0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,77.0,2980.0,0.536,0.054000000000000006,0.40299999999999997,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,0.11599999999999999,1.1,0.7,1.8,2.8,0.066,0.05,23.2,-4.9,19780.0,0.18100000000000002,0.516,337749.0,0.511,1.77,0.21,0.05,-0.94,1.26,2.31,0.753,1.74,-4.4,-0.3,2.0,2.1,1.5,3.0,0.6,0.3,0.0,0.0,0.7,1.6,1.2,-2.5,-1.2,-0.4,-2.4,1.2,1.4,0.9,2.2,0.8,1.5,0.6,0.9,0.4,0.8,38.7,36.8,2.0,1.5,3.0,3.2,1.2,0.9,2.2,2.3,0.8,0.6,0.9,0.9,1.5,1.8,0.73,2.7,2.9,8.2,5.9,2.3,7.9,3.6,4.0,25.14,5
abdursh01,2003,1.5,42.5,1342.0,692.0,94.5,225.0,319.5,87.0,34.0,18.5,92.0,111.0,527.0,250.5,214.5,186.5,17.0,4.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,81.0,3087.0,0.5660000000000001,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,7.4,2.3,9.7,0.151,1.8,-0.5,1.4,2.6,0.115,0.036000000000000004,21.1,-4.19,19905.0,0.182,0.527,335285.0,0.517,1.38,-0.61,0.09,0.33,1.21,2.31,0.775,1.79,-1.82,-0.64,1.7,2.0,1.3,2.8,0.4,0.3,0.9,0.0,0.6,2.2,1.7,-1.3,-1.0,-0.1,-2.9,2.1,1.4,1.6,2.9,-0.4,1.5,-0.3,-0.1,2.5,0.8,38.1,36.3,1.7,1.3,2.8,2.9,2.1,1.6,2.9,3.0,-0.4,-0.3,-0.1,-0.1,1.5,1.6,0.73,2.6,2.7,7.7,7.9,-0.3,7.2,3.5,4.0,26.14,6
abdursh01,2004,1.0,54.0,1867.0,909.0,123.0,269.0,392.0,111.0,49.0,26.0,117.0,150.0,670.0,337.0,254.0,220.0,39.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,42.5,1342.0,0.545,0.0355,0.3915,8.05,17.9,13.05,12.05,1.5,1.25,13.55,24.05,3.1,0.95,4.05,0.1305,0.5,-0.85,-0.4,0.7,0.095,0.0355,20.8,-3.1,19942.5,0.187,0.5145,339302.5,0.511,0.74,-0.5,0.015,0.04,0.1,0.38,0.3365,0.35,-0.64,-0.615,-0.25,2.35,0.1,0.75,0.45,0.25,0.15,-0.05,0.05,0.85,0.55,-0.35,0.8,-0.25,-2.75,0.6,1.55,0.4,1.0,-0.8,1.75,-0.35,-0.2,1.45,0.35,29.85,27.25,-0.25,0.1,0.75,1.25,0.6,0.4,1.0,1.65,-0.8,-0.35,-0.2,-0.35,-0.25,-0.25,0.475,1.05,1.05,2.1,2.7,-0.6,2.8,3.6,4.0,27.14,7
