tmID,year,stint,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,nameGiven,firstseason,lastseason,height_x,weight_x,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truetimevorp,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height_y,weight_y,rounded_position,rounded_age
ATL,2000,1.333333333,42.33333333,0,1163,480.1666667,67.41666667,163.0833333,230.5,108,38.58333333,25.5,80.41666667,103.1666667,419.9166667,184.6666667,124.0833333,92,48,18.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,78.75,206,26.16666667,52.83333333,1369.166667,13.575,0.48975,0.11775,0.35175,5.783333333,12.575,9.15,16.33333333,1.883333333,1.608333333,15.54166667,19.59166667,,1.191666667,1.1,2.316666667,0.061916667,,-1.158333333,-0.416666667,-1.591666667,0.516666667,0.020083333,0.041916667,16.575,-4.338333333,19823.75,82,0.167,0.504333333,337935.3333,0.503666667,-0.4375,0.284166667,0.0225,-0.839166667,-0.546666667,-1.539166667,0.34525,-0.0875,-4.678333333,-0.103333333,-1.658333333,2.508333333,-0.175,0.541666667,-0.05,0.266666667,-0.841666667,0.05,-0.266666667,-0.825,0.016666667,-2.941666667,-1.608333333,-0.383333333,-1.375,-1.208333333,1.675,-0.083333333,0.516666667,-0.425,1.841666667,-0.075,0.033333333,-0.8,0.341666667,23.425,21.53333333,-1.658333333,-0.175,0.541666667,0.741666667,-1.208333333,-0.083333333,0.516666667,0.708333333,-0.425,-0.075,0.033333333,0.066666667,-1.625,-1.6,0.305,0.708333333,0.841666667,1.441666667,1.358333333,0.091666667,2.258333333,2.658333333,2.833333333,26.50166667,3.416666667,78.75,207.25,2.583333333,26.25
ATL,2001,1,60.3,0,1678.7,709.9,89.8,225.6,315.4,161.4,58.6,28.9,110.9,137.6,598,266.9,189.8,140.7,100.4,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,79.5,209.3,25.9,54.8,1499.8,16.45,0.5248,0.1169,0.3398,6.73,15.29,11.06,14.81,1.64,1.8,14.56,21.97,,1.84,1.45,3.31,0.1082,,-0.08,-0.23,-0.31,0.91,0.0548,0.0535,18.84,-1.838,19777.5,82,0.17,0.511,335655.5,0.5088,-0.151,0.048,0.056,-0.334,-0.295,-0.734,0.3793,0.085,-4.588,0.476,-0.25,2.39,0.19,0.96,0.09,0.31,-0.07,-0.05,-0.16,0.15,0.27,-2.01,-1.68,-0.16,0.18,-0.01,1.6,0.19,0.81,-0.25,1.77,0.02,0.13,0.24,0.38,26.35,24.12,-0.25,0.19,0.96,1.52,-0.01,0.19,0.81,1.31,-0.25,0.02,0.13,0.21,-0.72,-0.48,0.425,1.24,1.54,2.58,2.23,0.33,4.17,3.05,3.3,26.33,3.7,79.6,210.5,3,26.1
ATL,2002,1.142857143,63,0,1792.142857,716.8571429,90.85714286,249,339.8571429,158,55.57142857,54.85714286,113.1428571,154.2857143,580.7142857,261.7142857,199.7142857,159.5714286,93,33.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,80,217.5714286,25.57142857,50.14285714,1427.428571,15.07142857,0.523,0.094428571,0.369,7.514285714,16.12857143,11.78571429,10.34285714,1.628571429,2.571428571,14.75714286,20.82857143,,1.728571429,1.328571429,3.042857143,0.083285714,,-1.414285714,-0.171428571,-1.614285714,0.728571429,0.033714286,0.049714286,17.78571429,-3.938571429,19765.71429,82,0.181,0.519428571,337678.5714,0.518571429,-1.175714286,0.43,-0.054285714,-0.031428571,-0.634285714,-1.412857143,0.360857143,0.155714286,-3.63,-0.222857143,-1.657142857,2.728571429,0.057142857,0.771428571,-0.2,0.228571429,-0.771428571,-0.1,-0.328571429,-1.128571429,0.342857143,-2.1,-0.871428571,-0.357142857,-1.842857143,-1.485714286,1.828571429,0.214285714,0.842857143,-0.157142857,2,-0.171428571,-0.057142857,-1.314285714,0.371428571,24.97142857,21.42857143,-1.657142857,0.057142857,0.771428571,0.542857143,-1.485714286,0.214285714,0.842857143,0.485714286,-0.157142857,-0.171428571,-0.057142857,0.057142857,-1.585714286,-1.614285714,0.261428571,0.8,0.9,2.1,2.214285714,-0.157142857,2.442857143,3.428571429,3.857142857,25.91714286,3.857142857,80,219.2857143,3.285714286,25.71428571
ATL,2003,1.5,31.875,0,795.0625,305.5,41.1875,110,151.1875,71.1875,23,19.375,51.375,71.375,261,113.25,84.25,65.625,40.4375,13.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,79.4375,217.8125,26.75,59.375,1474.25,13.6875,0.516125,0.1293125,0.3215625,6.75,14.8625,10.84375,12.3625,1.39375,2.15,15.4375,18.44375,,1.85,1.08125,2.9125,0.0780625,,-1.2125,-0.76875,-1.99375,0.4875,0.04325,0.034875,15.7,-2.645,19872.1875,82,0.182,0.524125,339644.75,0.5231875,-0.92875,-0.078125,-0.03375,-0.064375,-0.67375,-1.743125,0.370875,-0.11375,-1.625,-0.30875,-2.05,2.39375,-0.24375,0.49375,-0.15,0.25,-0.80625,-0.15625,-0.35625,-1.2125,0,0.01875,0.325,-0.05,-2.65625,-1.2875,1.6,-0.03125,0.60625,-0.775,1.76875,-0.2125,-0.1125,-0.51875,0.36875,22.55,21.06875,-2.05,-0.24375,0.49375,0.425,-1.2875,-0.03125,0.60625,0.5625,-0.775,-0.2125,-0.1125,-0.11875,-1.48125,-1.7125,0.283125,0.63125,0.65,1.3625,1.61875,-0.275,1.73125,3.28125,3.375,27.31875,4.0625,79.6875,222.5,3.25,27.25
ATL,2004,1.272727273,35.09090909,0,969.8181818,400.9090909,44.81818182,114.5454545,159.3636364,93.36363636,32,8.727272727,64.09090909,93.36363636,357.1818182,155.5454545,99,67.45454545,68.45454545,22.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,78.72727273,212.8181818,30.72727273,45.36363636,1042.454545,11.09090909,0.469727273,0.139454545,0.228181818,5.963636364,14.25454545,10.07272727,12.24545455,1.818181818,1.663636364,14.75454545,16.21818182,,0.827272727,0.863636364,1.672727273,0.065818182,,-2.027272727,-0.181818182,-2.190909091,0.409090909,0.019909091,0.046,13.9,1.338181818,19782.27273,82,0.187,0.518,341404.3636,0.519636364,-1.377272727,0.119090909,-0.118181818,-0.266363636,-1.182727273,-2.708181818,0.263181818,-0.27,0.093636364,0.301818182,-2.390909091,2.863636364,-0.163636364,0.363636364,-0.418181818,0.145454545,-1.409090909,0.018181818,-0.609090909,-2.245454545,-0.1,1.463636364,1.581818182,0.027272727,-0.1,-2.227272727,1.909090909,-0.045454545,0.4,-0.172727273,2.1,-0.109090909,-0.036363636,-2.045454545,0.254545455,18.51818182,16.9,-2.390909091,-0.163636364,0.363636364,0.309090909,-2.227272727,-0.045454545,0.4,0.3,-0.172727273,-0.109090909,-0.036363636,5.05E-18,-1.781818182,-2,0.28,0.545454545,0.536363636,0.990909091,1.081818182,-0.081818182,1.463636364,2.972727273,3.272727273,31.20090909,9,78.72727273,212.8181818,2.909090909,31.27272727
ATL,2005,1,44.75,0,1314.25,633.25,39.75,132.5,172.25,138,34.25,5,86.25,131.75,514.25,233.75,157,120.25,111.25,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,74.5,192.25,27.25,48,1474.25,13.35,0.514,0.24825,0.2525,2.4,10.4,6.3,19.45,1.35,0.175,12.625,20.55,,1.45,0.4,1.85,0.06325,,-0.225,-2.25,-2.475,-0.075,0.04525,0.018,18,-6.805,19855,82,0.196,0.51175,339652,0.51025,-0.02,-1.085,0.14,-0.3325,0.0575,-1.3775,0.37125,-0.18,-2.7325,-1.085,-2.45,2.325,-0.775,-0.025,-0.35,0.375,0.675,-0.05,0.025,0.675,0.4,-4.05,-1.075,-0.775,-2.725,-0.1,1.55,0.125,0.75,-2.375,1.75,-0.875,-0.75,2.275,0.35,29.125,26.675,-2.45,-0.775,-0.025,-0.225,-0.1,0.125,0.75,1.025,-2.375,-0.875,-0.75,-1.2,-0.9,-1.625,0.275,0.175,-0.075,-0.05,1.975,-2.075,-0.2,1.625,1.75,27.8675,6.5,74.5,192.25,1.5,28
BOS,2000,1,52.27272727,0,1285.272727,567.7272727,62.27272727,168.9090909,231.1818182,116.7272727,50.36363636,20.81818182,88.45454545,121.6363636,472.6363636,203,161.7272727,119.1818182,117.7272727,42.54545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,78.18181818,213.8181818,25.09090909,67,1525.454545,12.89090909,0.499090909,0.170636364,0.307,5.490909091,12.93636364,9.045454545,15.87272727,2.018181818,1.018181818,16.5,19.15454545,,1.654545455,1.345454545,3,0.065363636,,-1.027272727,-0.572727273,-1.609090909,0.781818182,0.027,0.038363636,16.06363636,-1.29,19750.45455,82,0.167,0.521,339425.9091,0.521363636,0.174545455,0.139090909,0.012727273,-0.963636364,-0.76,-1.408181818,0.386363636,0.179090909,0.167272727,-0.342727273,-1.763636364,2.4,-0.009090909,0.763636364,0.090909091,0.263636364,-1.018181818,0.127272727,-0.372727273,-0.927272727,0.181818182,0.3,1.490909091,-0.263636364,-1.581818182,-1.154545455,1.6,0.072727273,0.718181818,-0.6,1.781818182,-0.081818182,0.036363636,-0.563636364,0.4,20.94545455,19.81818182,-1.763636364,-0.009090909,0.763636364,0.736363636,-1.154545455,0.072727273,0.718181818,0.718181818,-0.6,-0.081818182,0.036363636,0.018181818,-1.536363636,-1.590909091,0.318181818,0.863636364,0.990909091,2.090909091,2.009090909,0.081818182,2.645454545,2.645454545,2.727272727,25.74090909,3,78.27272727,216.2727273,2.545454545,25.90909091
BOS,2001,1.153846154,62.61538462,0,1552.307692,625.6923077,66.23076923,201.3846154,267.6153846,139.1538462,61.23076923,21.23076923,87.53846154,141.6923077,526.1538462,222.1538462,158.8461538,122.5384615,159.6153846,58.84615385,11.69230769,0,304.2307692,114.6153846,13.15384615,41.07692308,54.23076923,24.38461538,11.30769231,5.846153846,17.38461538,29.30769231,99.38461538,41.07692308,28.92307692,22.53846154,29.69230769,9.923076923,,,0,0,78.30769231,218.5384615,25.92307692,61.15384615,1528.769231,13.34615385,0.503,0.212615385,0.322153846,5.230769231,14.49230769,9.738461538,14.97692308,2.1,1.446153846,14.52307692,19.31538462,,1.384615385,1.730769231,3.115384615,0.085615385,,-1.069230769,0.046153846,-1,0.784615385,0.031076923,0.054538462,16.59230769,-1.645384615,19828.07692,82,0.17,0.518,338696.8462,0.517692308,-0.014615385,0.436923077,0.024615385,-0.12,-0.577692308,-0.278461538,0.385615385,0.346923077,1.843846154,-0.763846154,-1.046153846,2.353846154,0.015384615,0.776923077,-0.092307692,0.276923077,-0.253846154,0.153846154,-0.307692308,-0.2,0.384615385,-1.846153846,2.415384615,-0.938461538,0.184615385,-1.115384615,1.569230769,0.015384615,0.646153846,0.069230769,1.738461538,0.007692308,0.130769231,-1.184615385,0.392307692,23.41538462,21.83846154,-1.046153846,0.015384615,0.776923077,0.784615385,-1.115384615,0.015384615,0.646153846,0.607692308,0.069230769,0.007692308,0.130769231,0.184615385,-1.176923077,-1.130769231,0.318461538,0.738461538,0.776923077,2.130769231,1.761538462,0.353846154,2.130769231,2.830769231,2.923076923,26.43615385,3.923076923,78.38461538,219.6923077,2.923076923,26.46153846
BOS,2002,1.153846154,53.46153846,0,1462.615385,577.1538462,61.76923077,182.9230769,244.6923077,116.1538462,54.69230769,22.76923077,82.46153846,128.2307692,489.1538462,205.5384615,147,109.5384615,163.8461538,56.53846154,6.384615385,0,203.8461538,80.92307692,6.769230769,26.46153846,33.23076923,17.69230769,7.230769231,3.615384615,11.15384615,20.76923077,64.69230769,28.46153846,20.15384615,16.30769231,20,7.692307692,,,0,0,79.26923077,214.6153846,26.76923077,52.15384615,1243.461538,13.12307692,0.504230769,0.217230769,0.284846154,6.161538462,13.88461538,9.984615385,12.37692308,1.738461538,1.484615385,12.93076923,19.16153846,,1.269230769,1.592307692,2.876923077,0.089538462,,-1.315384615,-0.053846154,-1.361538462,0.8,0.033384615,0.056230769,16.76153846,1.404615385,19826.15385,82,0.181,0.524692308,343963.1538,0.524846154,-0.487692308,-0.012307692,-0.033846154,0.037692308,-0.906923077,-1.369230769,0.313615385,0.243076923,2.396923077,-0.139230769,-1.515384615,2.584615385,0.153846154,0.776923077,-0.069230769,0.246153846,-0.407692308,6.41E-18,-0.469230769,-0.7,0.346153846,-0.161538462,3.384615385,-0.707692308,1.569230769,-1.423076923,1.730769231,0.038461538,0.576923077,-0.107692308,1.915384615,0.115384615,0.207692308,-1.3,0.315384615,20.7,19.21538462,-1.515384615,0.153846154,0.776923077,0.776923077,-1.423076923,0.038461538,0.576923077,0.584615385,-0.107692308,0.115384615,0.207692308,0.169230769,-1.276923077,-1.361538462,0.293076923,0.761538462,0.792307692,2.130769231,1.561538462,0.553846154,2.161538462,3.076923077,3.461538462,27.26923077,4.769230769,79.38461538,215.7692308,3.076923077,27.30769231
BOS,2003,1.285714286,47.71428571,0,1263.071429,511.7857143,63.92857143,168.2857143,232.2142857,96.64285714,45.07142857,29.42857143,81.85714286,118.3571429,409.4285714,188.4285714,136.5714286,103.1428571,92.64285714,31.78571429,2.214285714,0,66.5,23.71428571,3.142857143,9.642857143,12.78571429,4.071428571,2,1.857142857,5.142857143,5.714285714,19.71428571,8.071428571,8.142857143,6.285714286,3.857142857,1.285714286,,,0,0,80.39285714,220.5714286,26.5,65.21428571,1610.642857,12.86428571,0.514714286,0.199285714,0.323071429,6.721428571,14.34285714,10.45714286,11.9,1.514285714,2.171428571,14.67142857,17.92142857,,1.528571429,1.714285714,3.242857143,0.0875,,-1.521428571,0.192857143,-1.342857143,0.664285714,0.035214286,0.052285714,15.37142857,-3.400714286,19824.64286,82,0.182,0.504714286,339474.3571,0.503857143,-0.760714286,0.085,0.016428571,0.881428571,-0.572857143,-0.368571429,0.406142857,0.275,0.939285714,-1.003571429,-1.378571429,2.321428571,-0.142857143,0.685714286,-0.064285714,0.3,-0.1,-0.121428571,-0.292857143,-0.271428571,0.364285714,-3.928571429,1.714285714,-1.285714286,0.535714286,-1.564285714,1.55,-0.15,0.528571429,0.185714286,1.714285714,0.021428571,0.135714286,-1.75,0.407142857,23.25,21.88571429,-1.378571429,-0.142857143,0.685714286,0.685714286,-1.564285714,-0.15,0.528571429,0.464285714,0.185714286,0.021428571,0.135714286,0.207142857,-1.421428571,-1.392857143,0.327857143,0.735714286,0.814285714,1.821428571,1.464285714,0.378571429,2.25,3.428571429,3.5,27.05428571,4.071428571,80.5,221.6428571,3.5,27.14285714
